day,mean_ote,min_ote,max_ote,p5_ote,p95_ote
146,3055.555548508719,-89491.3025117469,724369.2916743323,-55718.20529741978,95300.27695556918
147,3079.3148860713763,-90091.87620701473,742730.4291529214,-55835.126713148944,95807.71975745041
148,3095.2793580105645,-90567.56309612133,793164.7813025597,-55966.33603660071,96156.05428695584
149,3119.513353030534,-90516.21493080887,815754.6820612008,-56107.98080123006,96677.79755393596
150,3138.304325153848,-90671.41463488733,800157.3747665057,-56263.51051177234,96973.35107601594
151,3154.7804306838348,-90729.64367355936,814863.2055761457,-56389.369160852046,97396.68738635504
152,3186.8756467326357,-90291.86141126927,817504.2600458893,-56537.25309333703,97817.9899675562
153,3209.942344393037,-91042.57700164583,862193.3296211621,-56642.88901354466,98178.87802707072
154,3222.028216249368,-91066.01129131381,864400.96118967,-56762.17296720596,98678.95536603761
155,3236.510043015341,-90551.31426332888,877455.0806775504,-56867.29287310013,98980.24204336826
156,3249.453442675792,-90949.85079483385,878421.7624078853,-57010.30325878482,99415.23317196665
157,3271.973046669032,-90943.54056224086,854268.9601812983,-57171.730554357375,99743.14308714824
158,3289.306451366258,-90434.64109414909,834415.4569301291,-57300.775857794295,100113.92092220378
159,3307.6310355372375,-90088.13749671026,845132.6986744956,-57414.58479751774,100527.5133888578
160,3327.3335778752034,-90186.06094375026,781615.5267692981,-57534.50114452791,100979.65715869713
161,3344.7971488523253,-90469.9080559111,785123.8869694076,-57651.101625568605,101444.10544294052
162,3368.78528290445,-89982.3645095354,759430.2929103824,-57782.18837690679,101729.9867577601
163,3397.5847525054733,-90428.16780463004,723952.9118132447,-57881.126273638976,102118.50792576991
164,3414.989340810335,-90620.89687591072,702676.0345749806,-57996.01575466741,102598.82041087397
165,3433.2408525194537,-90888.40297455614,746037.8774458176,-58130.1409204936,102923.52274729659
166,3448.4117336290706,-90690.27243674062,786474.9268955047,-58271.80079565302,103092.94184285596
167,3469.3313560314455,-91335.12590476614,775990.6926977381,-58375.0173859076,103483.98075308089
168,3486.5262382176593,-90955.01828643857,741110.8170254747,-58492.8292855466,103816.72507163642
169,3494.247996368509,-91426.044200985,769214.809476033,-58605.02495157398,104291.60735876777
170,3517.489174139752,-91759.61150100753,770012.5748562119,-58755.072372058516,104757.6148758871
171,3540.624494812322,-91946.12304831941,754939.4303677077,-58851.44616095131,105185.0687339289
172,3554.850691462918,-92342.62578499613,787920.3504626368,-58971.23214815524,105556.04555018093
173,3579.217225154694,-92322.16515218973,761532.408696223,-59100.362739774704,105941.18451623381
174,3601.414663052216,-92366.92029756354,758843.8622147307,-59221.482165900044,106198.58179658864
175,3618.416801161663,-92036.87125338556,789794.7190229696,-59336.604837232924,106575.62872416941
176,3633.4457990088695,-92407.59803396864,836562.1750007062,-59462.873566134374,106842.07022099353
177,3646.3408904850985,-92630.09331681661,908102.4873788344,-59548.53190731675,107223.47306166535
178,3667.3364814797787,-92588.52373423066,859732.693773316,-59665.968619740815,107597.77265222323
179,3696.1872723333804,-92388.87892807755,950664.2420240573,-59799.774717477514,107975.4199754999
180,3714.886393073812,-92589.33731627306,977833.2725936038,-59900.847056061764,108318.77861231915
181,3740.7363402960727,-92622.67787991515,1004189.275726985,-60021.48397375967,108782.56964524237
182,3756.2900219811595,-92989.98232737233,1086023.8701340323,-60143.16333390398,108954.54335663083
