day,mean_ote,min_ote,max_ote,p5_ote,p95_ote
198,4077.255383078128,-93531.07918644602,1189358.2737867686,-61839.948355716246,114760.60928042384
199,4095.9451631346697,-93063.6982215133,1199781.0850140634,-61936.340635622124,115092.33992772453
200,4122.095849866582,-92973.5408132393,1202479.593329909,-62057.13096086403,115486.00493564294
201,4145.727599301579,-93646.21361046846,1273627.1844066868,-62168.93839647338,115950.281567796
202,4164.02301909381,-93907.46083832186,1303295.5918893567,-62269.430871516066,116206.35346467784
203,4186.187743726993,-93525.33657590009,1312262.0989905142,-62374.76751582984,116542.60043045263
204,4208.3162168942,-93428.16220831175,1292542.58517463,-62444.54342686325,117034.15454264892
205,4223.705204273147,-93406.1894249147,1248030.3001094426,-62543.954092548214,117344.61376840487
206,4244.618406084408,-93285.24645155296,1266088.0898572123,-62652.662092427774,117583.33376077897
207,4260.297871700135,-93337.32671438795,1205397.5003974934,-62772.30090453828,117930.4815166599
208,4285.304492034319,-93321.47107660206,1307443.2860801583,-62849.06831761724,118270.43776378305
209,4302.284785125554,-93095.94937996927,1274385.8251944282,-62948.03672513495,118706.11848184418
210,4328.184163084711,-92770.47338877419,1309553.6029737783,-63053.25002172849,119089.35715605934
211,4342.5562530097195,-93027.78593358472,1300002.7210973182,-63145.50504724509,119477.98520008882
212,4359.080850947864,-93184.22193367046,1382646.4656872393,-63251.22446004733,119742.00196228191
213,4379.872072102921,-93411.41188491385,1362466.142996115,-63352.03647658356,120092.2035337345
214,4405.651931964756,-93170.55121095337,1422219.9427528046,-63442.46905676668,120492.31917290672
215,4421.15131224071,-93342.33661605406,1406676.205810395,-63537.05551884953,121022.3749143526
216,4446.048751346018,-93266.17386594409,1438785.138270535,-63613.38580183613,121213.19109510139
217,4463.431994468995,-93845.02413551527,1435379.6539221865,-63715.411001627566,121607.55136119886
218,4496.655128153472,-94027.970898632,1373538.8362550857,-63806.57572794556,122044.67461110062
219,4523.698225025698,-93919.6918146214,1447705.7173734528,-63905.28659760899,122359.59564811239
220,4543.025167370052,-93814.93544679506,1406310.6270424675,-63987.07571065634,122619.93211551146
221,4569.083695938697,-93677.74877280694,1441422.1185083282,-64097.993675376325,123048.84958750724
222,4587.80443613844,-93927.83225315006,1393741.527151391,-64175.21341137918,123457.54405212188
223,4601.891581670982,-94032.26964451198,1397445.791459201,-64287.395371230836,123833.24458247623
224,4625.039190705638,-94337.89681994752,1411945.096350548,-64368.89857082576,124212.44947521306
225,4649.166709995138,-94626.37642748958,1594825.5666071582,-64475.25302759872,124560.83630904471
226,4675.2104024270275,-94242.72003404808,1531557.2355030288,-64575.005201291446,124866.50216715329
227,4701.502090992588,-94477.45985659394,1565091.342209524,-64670.13264816853,125334.31475091731
228,4724.432314501435,-94443.71064426097,1550938.8350033928,-64753.84141526158,125663.59506633377
229,4737.609587736475,-94346.57949716685,1554028.761041597,-64842.21107992701,125976.45039979409
230,4762.164360952606,-94497.48687229652,1544201.2296371146,-64933.035543680584,126361.68256911129
231,4787.118191607507,-94365.3827448942,1523044.2667701726,-65034.07624129051,126534.92524297522
232,4813.877154217772,-94459.59227216207,1645736.0879485984,-65112.184814001484,126940.86069126191
233,4830.81959896181,-94829.82636540635,1689130.9671622,-65212.45186321834,127261.37845264598
234,4850.238685734952,-94820.9618747105,1606971.8375306264,-65286.237843354196,127565.25253320229
235,4866.768315336552,-94628.70649897697,1559782.1113789272,-65359.50076516176,127806.8582561956
236,4881.4345569799125,-94492.87730295713,1552969.049836834,-65423.70138831748,128030.3446924062
237,4901.178860109227,-94719.64128316332,1698857.6537841116,-65504.637598898335,128538.80286489466
238,4931.411231064781,-94749.4835375695,1736241.2648186402,-65588.46435804991,128836.6473123133
239,4946.3678498422,-94609.06114115832,1727634.570025564,-65655.67282584094,129259.6100748645
240,4976.945913506814,-94864.64828576823,1737468.1206532859,-65747.49032600861,129583.1555128293
241,5001.037143900916,-94928.79773699965,1816274.0088784194,-65830.82027078945,129979.08580654801
242,5024.517264024983,-95035.98356327439,1941894.8180728143,-65896.05523802277,130183.91347435451
243,5042.106884648459,-95158.03174854277,1926856.346329428,-66002.71696977566,130624.42837201174
244,5061.854632511638,-95190.21493184255,1913105.8004755254,-66072.36470113663,130850.52289586277
245,5085.838489253499,-95012.06347196872,1920223.370209906,-66175.20385168237,131221.24040856096
246,5109.14881853782,-95025.27922054575,1903127.2366807717,-66266.03854168065,131513.61312054278
247,5126.712260276146,-95021.32590712514,1879277.3426320537,-66327.85956899828,131844.22170724728
248,5145.95104704936,-94996.19998162959,1906758.0805719486,-66399.04970434439,132172.34375294743
249,5167.01142318273,-94926.25277763355,1844413.881401634,-66473.48394859125,132487.95038576875
250,5195.128960467663,-95255.11496808966,1870131.072032571,-66571.45169766314,132826.1651039015
251,5212.095328920822,-95197.08390652105,1821549.2148283797,-66642.33931714248,133513.49629549266
